"AHRondelPosition","ITRondelPosition","FRRondelPosition","GBRondelPosition","GERondelPosition","RURondelPosition","AHPowerPoints","ITPowerPoints","FRPowerPoints","GBPowerPoints","GEPowerPoints","RUPowerPoints","NumberOfAvailableBonds","Cash","RawScore","NumberOfOwnedBonds","annotation"
-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,42,2,0,6,3
1,-1,-1,-1,-1,-1,0,0,0,0,0,0,42,2,0,6,3
1,-1,-1,-1,-1,-1,0,0,0,0,0,0,42,2,0,6,3
1,1,-1,-1,-1,-1,0,0,0,0,0,0,42,2,0,6,3
1,1,-1,-1,-1,-1,0,0,0,0,0,0,42,2,0,6,3
1,1,1,-1,-1,-1,0,0,0,0,0,0,42,2,0,6,3
1,1,1,-1,-1,-1,0,0,0,0,0,0,42,2,0,6,3
1,1,1,0,-1,-1,0,0,0,0,0,0,42,2,0,6,3
1,1,1,0,1,-1,0,0,0,0,0,0,42,2,0,6,3
1,1,1,0,1,-1,0,0,0,0,0,0,42,2,0,6,9
1,1,1,0,1,4,0,0,0,0,0,0,42,2,0,6,6
1,1,1,0,1,4,0,0,0,0,0,0,42,2,0,6,6
2,1,1,0,1,4,0,0,0,0,0,0,42,2,0,6,8
2,3,1,0,1,4,0,0,0,0,0,0,42,2,0,6,8
2,3,1,0,1,4,0,0,0,0,0,0,42,2,0,6,8
2,3,2,0,1,4,0,0,0,0,0,0,42,2,0,6,10
2,3,2,5,1,4,0,0,0,0,0,0,42,2,0,6,5
2,3,2,5,1,4,0,0,0,0,0,0,42,4,0,6,3
2,3,2,5,1,4,0,0,0,0,0,0,41,0,0,7,7
2,3,2,5,2,4,0,0,0,0,0,0,41,0,0,7,7
2,3,2,5,2,0,0,0,0,0,0,0,41,0,0,7,7
3,3,2,5,2,0,0,0,0,0,0,0,41,0,0,7,7
3,3,2,5,2,0,0,0,0,0,0,0,41,0,0,7,7
3,5,2,5,2,0,0,0,0,0,0,0,41,0,0,7,7
3,5,2,5,2,0,0,0,0,0,0,0,41,0,0,7,8
3,5,2,5,2,0,0,0,0,0,0,0,41,0,0,7,5
3,5,3,5,2,0,0,0,0,0,0,0,41,0,0,7,5
3,5,3,5,2,0,0,0,0,0,0,0,41,0,0,7,5
3,5,3,1,2,0,0,0,0,0,0,0,41,0,0,7,5
3,5,3,1,2,0,0,0,0,0,0,0,41,0,0,7,5
3,5,3,1,3,0,0,0,0,0,0,0,41,0,0,7,5
3,5,3,1,3,0,0,0,0,0,0,0,41,0,0,7,5
3,5,3,1,3,3,0,0,0,0,0,0,41,0,0,7,5
3,5,3,1,3,3,0,0,0,0,0,0,41,0,0,7,5
4,5,3,1,3,3,0,0,0,0,0,0,41,9,0,7,1
4,5,3,1,3,3,0,0,0,0,0,0,40,3,0,8,3
4,6,3,1,3,3,0,0,0,0,0,0,40,3,0,8,3
4,6,4,1,3,3,0,0,0,0,0,0,40,7,0,8,1
4,6,4,1,3,3,0,0,0,0,0,0,40,7,0,8,1
4,6,4,2,3,3,0,0,0,0,0,0,40,7,0,8,1
4,6,4,2,4,3,0,0,0,0,0,0,40,14,0,8,1
4,6,4,2,4,3,0,0,0,0,0,0,39,2,0,9,3
4,6,4,2,4,6,0,0,0,0,0,0,39,2,0,9,3
4,6,4,2,4,6,0,0,0,0,0,0,39,2,0,9,3
5,6,4,2,4,6,0,0,0,0,0,0,39,2,0,9,3
5,6,4,2,4,6,0,0,0,0,0,0,39,2,0,9,3
5,0,4,2,4,6,0,1,0,0,0,0,39,2,0,9,3
5,0,5,2,4,6,0,1,0,0,0,0,39,2,0,9,3
5,0,5,2,4,6,0,1,0,0,0,0,39,2,0,9,3
5,0,5,4,4,6,0,1,0,0,0,0,39,4,0,9,2
5,0,5,4,4,6,0,1,0,0,0,0,39,0,0,9,5
5,0,5,4,5,6,0,1,0,0,0,0,39,0,0,9,5
5,0,5,4,5,6,0,1,0,0,0,0,39,0,0,9,5
5,0,5,4,5,1,0,1,0,0,0,0,39,0,0,9,5
5,0,5,4,5,1,0,1,0,0,0,0,39,0,0,9,5
6,0,5,4,5,1,0,1,0,0,0,0,39,0,0,9,5
6,2,5,4,5,1,0,1,0,0,0,0,39,0,0,9,5
6,2,6,4,5,1,0,1,0,0,0,0,39,0,0,9,5
6,2,6,0,5,1,0,1,0,0,0,0,39,0,0,9,5
6,2,6,0,6,1,0,1,0,0,0,0,39,0,0,9,6
6,2,6,0,6,2,0,1,0,0,0,0,39,0,0,9,6
7,2,6,0,6,2,0,1,0,0,0,0,39,0,0,9,7
7,2,6,0,6,2,0,1,0,0,0,0,39,0,0,9,7
7,7,6,0,6,2,0,1,0,0,0,0,39,0,0,9,8
7,7,6,0,6,2,0,1,0,0,0,0,39,0,0,9,5
7,7,6,0,6,2,0,1,0,0,0,0,39,0,0,9,6
7,7,6,0,6,2,0,1,0,0,0,0,39,0,0,9,6
7,7,6,0,6,2,0,1,0,0,0,0,39,0,0,9,6
7,7,6,0,6,2,0,1,0,0,0,0,39,0,0,9,6
7,7,6,0,6,2,0,1,0,0,0,0,39,0,0,9,6
7,7,7,0,6,2,0,1,0,0,0,0,39,0,0,9,6
7,7,7,0,6,2,0,1,0,0,0,0,39,0,0,9,8
7,7,7,3,6,2,0,1,0,0,0,0,39,0,0,9,5
7,7,7,3,6,2,0,1,0,0,0,0,39,0,0,9,5
7,7,7,3,6,2,0,1,0,0,0,0,39,0,0,9,5
